cluster_id,cluster_name,cluster_demand_pct,jobs_mentioning_cluster,unique_skill_count,top_3_skills,role_coverage_score,role_balance_score,universality_score,strongest_role,role_specialization_score,entry_accessibility_score,median_min_experience,experience_barrier_score,transition_priority_score,cluster_priority_score,cluster_priority_rank
CLUSTER_013,Databases and Querying,32.666666666666664,49,10,"SQL, PostgreSQL, MS SQL",0.8,0.5927853189794745,0.7378355956938423,Data Engineer,0.5306122448979592,0.12244897959183673,3.0,1.0,0.7897180256469282,0.8125673792320293,1
CLUSTER_018,Cloud Platforms,22.666666666666668,34,10,"AWS, GCP, Azure",1.0,0.8137846451932228,0.9441353935579668,Data Engineer,0.47058823529411764,0.08823529411764706,3.0,1.0,0.705850912185037,0.7220242386976585,2
CLUSTER_030,Other Technical Skills,21.333333333333332,32,42,"Data Modeling, Copilot Studio, MS Excel",0.8,0.7674591429323415,0.7902377428797024,Data Analyst / BI / Scientist,0.40625,0.09375,3.0,1.0,0.6417588228639106,0.6512472051503018,3
CLUSTER_009,Programming Languages,15.333333333333334,23,9,"R, TypeScript, C#",1.0,0.8458330232477073,0.9537499069743121,Data Analyst / BI / Scientist,0.43478260869565216,0.08695652173913043,3.0,1.0,0.6054184503531632,0.611612469301523,4
CLUSTER_020,DevOps and Cloud Infrastructure,18.666666666666668,28,27,"CI/CD, Docker, Kubernetes",0.8,0.6720336410873542,0.7616100923262061,AI/ML Engineer,0.4642857142857143,0.07142857142857142,3.0,1.0,0.5923223134121476,0.5979831161819338,5
CLUSTER_019,Cloud Data Services,16.0,24,26,"Azure Data Factory, Azure Blob Storage, BigQuery",0.8,0.6895061472430193,0.7668518441729057,Data Engineer,0.5416666666666666,0.041666666666666664,5.0,0.6,0.5119305532518716,0.5310402752437255,6
CLUSTER_011,API Development,10.0,15,11,"API integration, APIs, FastAPI",1.0,0.7995789215949072,0.9398736764784721,AI/ML Engineer,0.5333333333333333,0.13333333333333333,3.0,1.0,0.5332121029435417,0.5298666465712292,7
CLUSTER_010,Web Development,7.333333333333333,11,10,"React, Node.js, Next.js",1.0,0.8787409903782898,0.9636222971134869,AI/ML Engineer,0.45454545454545453,0.18181818181818182,3.0,1.0,0.5101094164067733,0.5020294489565416,8
CLUSTER_021,BI and Visualization,16.0,24,7,"Power BI, Tableau, Google Sheets",0.6,0.4923304390790306,0.5676991317237092,Data Analyst / BI / Scientist,0.625,0.125,3.0,1.0,0.5046847395171128,0.49890321346882405,9
CLUSTER_027,Software Engineering Tools,8.0,12,7,"Git, GitHub, Microservice-based architecture",0.8,0.7683955122382772,0.7905186536714831,Data Engineer,0.4166666666666667,0.3333333333333333,3.0,1.0,0.4902805961014449,0.4726419890449228,10
CLUSTER_015,Data Engineering Pipelines,12.0,18,12,"ETL, Data Pipelines, dbt",0.6,0.5390473417948543,0.5817142025384563,Data Engineer,0.6666666666666666,0.0,5.0,0.6,0.3938892607615369,0.40327818683769057,11
CLUSTER_014,Data Warehousing,10.666666666666666,16,7,"Excel, Data Analysis, Redshift",0.4,0.43067655807339306,0.4092029674220179,Data Analyst / BI / Scientist,0.5,0.1875,3.0,1.0,0.39151089022660546,0.37128697924926596,12
CLUSTER_008,MLOps and Deployment,6.0,9,7,"MLOps, MLflow, Deployment",0.6,0.5273179854716311,0.5781953956414894,AI/ML Engineer,0.6666666666666666,0.1111111111111111,3.0,1.0,0.3651252853591135,0.34608225833946926,13
CLUSTER_017,Big Data Processing,10.666666666666666,16,12,"Spark, Databricks, Kafka",0.4,0.23410046348828253,0.3502301390464847,Data Engineer,0.875,0.0,5.0,0.6,0.30569404171394543,0.30626344588533994,14
CLUSTER_029,Operating Systems and Scripting,3.3333333333333335,5,2,"Linux, Linux administration",0.6,0.5904362833084089,0.5971308849925226,Other/Adjacent,0.6,0.0,3.0,1.0,0.3166392654977568,0.2983031920475325,15
CLUSTER_002,Generative AI,14.0,21,18,"Prompt engineering, LLM, LLMs",0.2,-0.0,0.13999999999999999,AI/ML Engineer,1.0,0.047619047619047616,5.0,0.6,0.2966428571428572,0.2939261904761905,16
CLUSTER_007,Deep Learning,2.6666666666666665,4,3,"TensorFlow, Deep Learning, TensorRT",0.6,0.6460148371100896,0.6138044511330268,AI/ML Engineer,0.5,0.0,3.0,1.0,0.31226633533990805,0.29349296887389886,17
CLUSTER_006,Machine Learning,8.0,12,5,"Machine learning, Machine Learning Algorithms, Predictive Modeling",0.4,0.17822121676154154,0.33346636502846244,Data Analyst / BI / Scientist,0.9166666666666666,0.08333333333333333,3.0,1.0,0.31566490950853876,0.29306473379272596,18
CLUSTER_023,Cybersecurity,3.3333333333333335,5,9,"Data protection, Access control, Data security best practices",0.6,0.5904362833084089,0.5971308849925226,AI/ML Engineer,0.6,0.0,5.0,0.6,0.2766392654977568,0.2743031920475325,19
CLUSTER_003,RAG and Vector Search,9.333333333333334,14,15,"RAG, Vector databases, Retrieval-Augmented Generation (RAG)",0.2,-0.0,0.13999999999999999,AI/ML Engineer,1.0,0.07142857142857142,3.0,1.0,0.27458928571428576,0.24847678571428577,20
CLUSTER_022,Statistics and Experimentation,3.3333333333333335,5,3,"A/B testing, Statistical modeling, Demand Modeling",0.4,0.31091750708257115,0.3732752521247713,Data Analyst / BI / Scientist,0.8,0.0,3.0,1.0,0.2494825756374314,0.22443083320117452,21
CLUSTER_016,Workflow Orchestration,5.333333333333333,8,3,"Airflow, Apache Airflow, Orchestration",0.4,0.23410046348828253,0.3502301390464847,Data Engineer,0.875,0.0,5.0,0.6,0.23069404171394542,0.22376344588533997,22
CLUSTER_026,Automation and Productivity,2.0,3,2,"Power Automate, Scripting and automation",0.4,0.39548848910372325,0.39864654673111694,Data Analyst / BI / Scientist,0.6666666666666666,0.0,4.0,0.8,0.2183439640193351,0.2001783604212686,23
CLUSTER_004,NLP and Text Analytics,2.0,3,6,"Document analysis, NLP, NLTK",0.2,-0.0,0.13999999999999999,AI/ML Engineer,1.0,0.0,3.0,1.0,0.16075,0.12682500000000002,24
CLUSTER_001,Agentic AI,3.3333333333333335,5,3,"LangChain, multi-agent systems, sub-agents",0.2,-0.0,0.13999999999999999,AI/ML Engineer,1.0,0.0,5.0,0.6,0.1395,0.12345000000000002,25
CLUSTER_005,Computer Vision,1.3333333333333333,2,6,"Computer Vision, DeepStream, Detectron2",0.2,-0.0,0.13999999999999999,AI/ML Engineer,1.0,0.0,3.0,1.0,0.151375,0.1165125,26
CLUSTER_028,Data Governance and Quality,0.6666666666666666,1,1,Data Governance,0.2,-0.0,0.13999999999999999,Data Engineer,1.0,0.0,5.0,0.6,0.102,0.0822,27
CLUSTER_012,Mobile Development,0.6666666666666666,1,3,"Firebase, Firebase Hosting, Firestore",0.2,-0.0,0.13999999999999999,Other/Adjacent,1.0,0.0,5.0,0.6,0.102,0.0822,27
CLUSTER_024,Information Systems,0.6666666666666666,1,1,eCommerce systems,0.2,-0.0,0.13999999999999999,Full-Stack Developer,1.0,0.0,6.0,0.4,0.082,0.0702,28
CLUSTER_025,Enterprise Platforms,0.6666666666666666,1,2,"Finacle, Fiserv",0.2,-0.0,0.13999999999999999,Data Analyst / BI / Scientist,1.0,0.0,8.0,0.0,0.041999999999999996,0.0462,29
