job_id,job_title_raw,company,location,job_type_final,work_setup_final,salary_min_observed,salary_max_observed,salary_observed_midpoint,salary_available,salary_shown_in_dashboard,salary_used_for_scoring,salary_estimation_method,standardized_role,role_confidence,seniority_level_llm,seniority_level_for_scoring,seniority_estimation_method,seniority_confidence,minimum_years_experience,maximum_years_experience,experience_basis
1,AI Engineer,TalentsThatFit,Remote,Full Time,Work from Home,80000.0,,80000.0,True,80000.0,80000.0,Observed,AI/ML Engineer,High,Senior,Senior,LLM extracted,High,5.0,,"5+ years of experience in Software Engineering, Data Engineering, and Applied Artificial Intelligence"
2,AI Engineer,24x7,Philippines,Full Time,Work from Home,90000.0,,90000.0,True,90000.0,90000.0,Observed,AI/ML Engineer,High,Senior,Senior,LLM extracted,High,5.0,,"5+ years building production-level LLM, AI agent, or RAG systems"
3,Senior AI/ML Engineer,Optum,Manila,Full Time,Hybrid,100000.0,,100000.0,True,100000.0,100000.0,Observed,AI/ML Engineer,High,Senior,Senior,LLM extracted,High,6.0,8.0,6–8+ years AI/ML experience
4,Backend Engineer,DataAnnotation,NCR,Full Time,Work from Home,,,,False,,168600.0,Estimated: same role median,Other/Adjacent,Low,Unspecified,Mid,Estimated: same role mode,Low,,,
5,Platform Engineer,DataAnnotation,Cebu City,Full Time,Work from Home,,,,False,,168600.0,Estimated: same role median,Other/Adjacent,Low,Unspecified,Mid,Estimated: same role mode,Low,,,
6,DevOps Engineer,DataAnnotation,NCR,Full Time,Work from Home,,,,False,,168600.0,Estimated: same role median,Other/Adjacent,Medium,Unspecified,Mid,Estimated: same role mode,Low,,,
7,AI Automation Engineer,Outsourced Doers,Philippines,Full Time,Work from Home,,,,False,,90000.0,Estimated: same role + seniority median,AI/ML Engineer,High,Senior,Senior,LLM extracted,High,5.0,,"Qualifications: 5+ years in software or automation engineering, with 2+ years building production AI/LLM-backed systems"
8,Data Engineer,ADEC Innovations,NCR,Full Time,Work from Home,90000.0,,90000.0,True,90000.0,90000.0,Observed,Data Engineer,High,Senior,Senior,LLM extracted,High,5.0,,Required Qualifications: 5+ years of hands-on experience building data pipelines in Azure
9,Azure AI Engineer,Geco Asia Pte Ltd,Taguig,Full Time,Hybrid,,,,False,,90000.0,Estimated: same role + seniority median,AI/ML Engineer,High,Mid,Mid,LLM extracted,Medium,3.0,6.0,"Qualifications: 3–6+ years in AI/ML, software engineering, or cloud-based AI development"
10,Manager Expert - Technical Architect for AI,Gratitude Inc.,Manila,Full Time,Hybrid,100000.0,,100000.0,True,100000.0,100000.0,Observed,AI/ML Engineer,High,Lead/Manager,Lead/Manager,LLM extracted,High,10.0,,"Qualifications: 10+ years of overall IT experience, including 5+ years in technical or solution architecture roles and 5+ years in Generative AI model architecture design and implementation"
11,Software Architect / Platform Architect,Trixicon LTD,Remote,Full Time,Work from Home,,,,False,,168600.0,Estimated: same role + seniority median,Other/Adjacent,High,Senior,Senior,LLM extracted,High,5.0,,"Significant experience as a Software Architect, Principal Engineer, or Tech Lead in SaaS systems or marketplaces"
12,Solutions Architect,Sailglobal Technology Limited,Taguig,Full Time,Hybrid,266000.0,,266000.0,True,266000.0,266000.0,Observed,AI/ML Engineer,High,Mid,Mid,LLM extracted,Medium,3.0,,"3+ years in Solutions Architecture, Cloud Consulting, or Technical Pre-Sales"
13,ML/AI Engineer,JWay Group,Pasig,Full Time,Onsite,,,,False,,90000.0,Estimated: same role + seniority median,AI/ML Engineer,High,Senior,Senior,LLM extracted,High,3.0,5.0,"At least 3-5 years of experience in machine learning, AI, or data science roles"
14,Data Analyst,Collab Asia,Pasig,Full Time,Hybrid,,,,False,,33000.0,Estimated: same role + seniority median,Data Analyst / BI / Scientist,High,Mid,Mid,LLM extracted,Medium,2.0,3.0,2-3 years of work experience
15,Senior AI Augmented React Engineer,Short Point,Manila,Full Time,Work from Home,,,,False,,139000.0,Estimated: same role + seniority median,Full-Stack Developer,High,Senior,Senior,LLM extracted,High,5.0,,"Proven experience as a Frontend Engineer with a strong focus on building sophisticated, scalable, and high-performing React applications"
16,Senior AI Software Engineer,Avaloq,Makati,Full Time,Hybrid,,,,False,,90000.0,Estimated: same role + seniority median,AI/ML Engineer,High,Senior,Senior,LLM extracted,High,5.0,,At least 5 years of experience in Full-Stack Software Development and 3 years of applied ML experience with 1 year of experience with LLMs and Agents
17,Data/AI Engineer,Sandpiper Productions,Philippines,Part Time,Work from Home,,,,False,,90000.0,Estimated: same role + seniority median,AI/ML Engineer,High,Mid,Mid,LLM extracted,Medium,,,"No explicit years of experience stated, but the role is part-time and may imply mid-level experience"
18,AI Platform Engineer,BlankSpace Inc,Remote,Full Time,Work from Home,,,,False,,90000.0,Estimated: same role + seniority median,AI/ML Engineer,High,Mid,Mid,LLM extracted,Medium,3.0,5.0,3–5 years of professional software development experience is required
19,Agentic Engineer,BrightBeam,Remote,Full Time,Work from Home,80000.0,,80000.0,True,80000.0,80000.0,Observed,AI/ML Engineer,High,Mid,Mid,LLM extracted,Medium,,,"No explicit years of experience stated, but the role requires experience with LLMs and agent frameworks"
20,AI Engineer,Telesource Solutions,Remote,Full Time,Work from Home,,,,False,,90000.0,Estimated: same role + seniority median,AI/ML Engineer,High,Mid,Mid,LLM extracted,Medium,3.0,,Python - 3+ years in production AI or ML systems
21,AI Engineer,Hire Overseas,Remote,Full Time,Work from Home,,,,False,,90000.0,Estimated: same role + seniority median,AI/ML Engineer,High,Mid,Mid,LLM extracted,High,3.0,,"Qualifications state '3+ years of experience in software engineering, machine learning, or AI development.'"
22,AI Solutions Engineer,EMAPTA,Remote,Full Time,Work from Home,100000.0,,100000.0,True,100000.0,100000.0,Observed,AI/ML Engineer,High,Senior,Senior,LLM extracted,High,7.0,,Required experience states 'Minimum 7+ years experience in fullstack development' and 'Minimum 3+ years experience integrating AI solutions.'
23,AI Engineer,Our Clients,Cebu City,Full Time,Work from Home,,,,False,,95000.0,Estimated: same role median,AI/ML Engineer,High,Unspecified,Senior,Estimated: same role mode,Low,,,"Qualifications mention 'Relevant professional experience in AI, data, analytics, or advanced technology implementations' but no specific years are stated"
24,Mid- Software Engineer- AI-Augmented Development,Ifelse Ph Inc.,Remote,Full Time,Work from Home,35000.0,,35000.0,True,35000.0,35000.0,Observed,Full-Stack Developer,High,Mid,Mid,LLM extracted,High,2.0,,"Experience states 'Node.js, NestJS, and TypeScript: 2 years (Required)' and 'Next.js, React, and Svelte: 2 years (Required).'"
25,Junior AI Engineer,Thermo Fisher Scientific,Quezon City,Full Time,Onsite,,,,False,,95000.0,Estimated: same role median,AI/ML Engineer,High,Junior,Junior,LLM extracted,High,0.0,3.0,"Qualifications state '0–3 years of experience in AI, Machine Learning, or Data Science.'"
26,AI Engineer,Thermo Fisher Scientific,Quezon City,Full Time,Onsite,,,,False,,90000.0,Estimated: same role + seniority median,AI/ML Engineer,High,Mid,Mid,LLM extracted,High,2.0,5.0,"2-5 years of experience in AI, Machine Learning, or Data Science"
27,Junior Full Stack Developer / AI Tech Assistant,M&H Home Solutions,Remote,Full Time,Work from Home,61000.0,,61000.0,True,61000.0,61000.0,Observed,Full-Stack Developer,High,Entry,Entry,LLM extracted,High,,,Intermediate coding experience
28,AI Prompt Engineer,Cushman & Wakefield,Manila,Full Time,Work from Home,,,,False,,90000.0,Estimated: same role + seniority median,AI/ML Engineer,High,Mid,Mid,LLM extracted,Medium,,,Experience working with Large Language Models (LLMs) and prompt engineering in a professional environment
29,Remote AI Engineer,Teamificent,Remote,Full Time,Work from Home,,,,False,,90000.0,Estimated: same role + seniority median,AI/ML Engineer,High,Senior,Senior,LLM extracted,High,5.0,,"5+ years of professional experience in AI engineering, machine learning, or software engineering with an AI focus"
30,AI & Automation Engineer,"Axons Business Center, Corp",Manila,Full Time,Work from Home,,,,False,,90000.0,Estimated: same role + seniority median,AI/ML Engineer,Medium,Mid,Mid,LLM extracted,Low,,,"Experience in at least one of the following: AI/ML, automation engineering, data analysis, or software development"
31,AI/Machine Learning Engineer,"Orange and Bronze Software Labs, Inc",Makati,Full Time,Work from Home,,,,False,,95000.0,Estimated: same role median,AI/ML Engineer,High,Unspecified,Senior,Estimated: same role mode,Medium,,,"SENIORITY LEVEL: Junior, Mid-Level, and Senior"
32,Full Stack Engineer,Worca,Remote,Full Time,Work from Home,,,,False,,139000.0,Estimated: same role + seniority median,Full-Stack Developer,High,Senior,Senior,LLM extracted,High,5.0,5.0,5+ years of Experience as a Full Stack Engineer
33,AI Builder Partner/Engineer,Mindmaven,Philippines,Full Time,Work from Home,,,,False,,95000.0,Estimated: same role median,AI/ML Engineer,High,Unspecified,Senior,Estimated: same role mode,Low,,,At least four years of work experience after college
34,AI & Cloud Engineer,MNA Ventures FZCO,Alabang,Full Time,Onsite,,,,False,,90000.0,Estimated: same role + seniority median,AI/ML Engineer,High,Senior,Senior,LLM extracted,High,8.0,10.0,Minimum Qualifications: 8–10 years of relevant development experience
35,"Senior Python Engineer, Document Analytics",Rooted Talents,Philippines,Full Time,Work from Home,245000.0,,245000.0,True,245000.0,245000.0,Observed,AI/ML Engineer,High,Senior,Senior,LLM extracted,High,5.0,,Required Skills & Qualifications: 5+ years of professional Python development
36,Security Ops Lead,Ironsail,Remote,Contract,Work from Home,247200.0,,247200.0,True,247200.0,247200.0,Observed,Other/Adjacent,High,Senior,Senior,LLM extracted,High,5.0,,"Candidates should have at least 5+ years of experience in one or more of the following: Security Engineering, DevOps / DevSecOps, Infrastructure Engineering, Systems Engineering, Cloud Engineering, Site Reliability Engineering (SRE), Senior Software Engineering with security ownership"
37,Full Stack Developer,Tidal,Remote,Contract,Work from Home,174000.0,,174000.0,True,174000.0,174000.0,Observed,Full-Stack Developer,High,Mid,Mid,LLM extracted,High,3.0,7.0,3–7+ years of experience in full-stack or backend-leaning engineering roles
38,Senior Data Engineer,ERNI Philippines,Alabang,Full Time,Hybrid,,,,False,,85000.0,Estimated: same role + seniority median,Data Engineer,High,Senior,Senior,LLM extracted,High,5.0,,5 years of experience as an (integration) developer and/or data engineer preferably in the banking sector or financial services sector
39,AI Developer (Agentic),HRTX,Taguig,Full Time,Hybrid,,,,False,,90000.0,Estimated: same role + seniority median,AI/ML Engineer,High,Senior,Senior,LLM extracted,High,4.0,,"4+ years of backend experience building production services using C# and/or Python, plus at least 1 year of hands-on experience with LLMs and prompt engineering"
40,Implementation Management Engineer,LanceSoft,Davao,Full Time,Onsite,90000.0,,90000.0,True,90000.0,90000.0,Observed,Other/Adjacent,High,Senior,Senior,LLM extracted,High,5.0,,"Minimum of 5 years of relevant experience in telecommunications implementation, network deployment, rollout, or engineering projects"
41,AI Software Engineer,Global Finance Teams,NCR,Full Time,Work from Home,,,,False,,90000.0,Estimated: same role + seniority median,AI/ML Engineer,High,Senior,Senior,LLM extracted,High,5.0,,Have 5+ years of experience building and operating production software
42,AI Code Reviewer & Systems Evaluation Engineer 2,Lifted,Manila,Contract,Work from Home,,,,False,,90000.0,Estimated: same role + seniority median,AI/ML Engineer,High,Mid,Mid,LLM extracted,Medium,2.0,,"2+ years of experience in backend engineering, AI automation, or systems integration"
43,Conversational AI Engineer,Bush & Bush Law Group,Remote,Full Time,Work from Home,,,,False,,90000.0,Estimated: same role + seniority median,AI/ML Engineer,High,Senior,Senior,LLM extracted,High,3.0,,"3+ years of experience in conversational AI, NLP, or related fields"
44,Systems Engineer,illumin,Remote,Full Time,Work from Home,,,,False,,168600.0,Estimated: same role median,Other/Adjacent,Low,Unspecified,Mid,Experience fallback: 3–5 years,Low,3.0,,"3+ years of experience in Systems Administration, Infrastructure Support, Production Operations, or a similar environment"
45,AI Native Engineer,Offshorly,Remote,Full Time,Work from Home,80000.0,,80000.0,True,80000.0,80000.0,Observed,AI/ML Engineer,High,Senior,Senior,LLM extracted,High,6.0,,6+ years of software engineering experience
46,AI Infrastructure Engineer,Umpisca Inc,NCR,Full Time,Work from Home,,,,False,,90000.0,Estimated: same role + seniority median,AI/ML Engineer,High,Senior,Senior,LLM extracted,High,5.0,,Requirements state '5+ years in Infrastructure/Cloud Engineering & IAM'
47,Backend Engineer,Restaurant Supply,NCR,Full Time,Work from Home,,,,False,,168600.0,Estimated: same role median,Other/Adjacent,Medium,Unspecified,Mid,Estimated: same role mode,Low,,,No explicit experience years mentioned
48,Data Engineer,True Staff Philippines Management Inc,Remote,Full Time,Work from Home,80000.0,,80000.0,True,80000.0,80000.0,Observed,Data Engineer,High,Unspecified,Senior,Estimated: same role mode,Low,,,No explicit experience years mentioned
49,Azure AI Engineer,Uptitude Training Corporation,Fort Bonifacio,Full Time,Hybrid,,,,False,,90000.0,Estimated: same role + seniority median,AI/ML Engineer,High,Mid,Mid,LLM extracted,Medium,3.0,6.0,"Qualifications state '3–6+ years in AI/ML, software engineering, or cloud-based AI solution development'"
50,Senior AI Engineer,D2B,NCR,Full Time,Work from Home,,,,False,,90000.0,Estimated: same role + seniority median,AI/ML Engineer,High,Senior,Senior,LLM extracted,High,,,Position title is 'Senior AI Engineer' and implies significant experience
51,Machine Learning Ops Engineer,Tharkal One,NCR,Full Time,Work from Home,,,,False,,90000.0,Estimated: same role + seniority median,AI/ML Engineer,High,Senior,Senior,LLM extracted,High,3.0,,"You have 3+ years of experience in DevOps or SRE, with at least 2 years focused on ML systems"
52,Platform Engineer,Qodea,Taguig,Full Time,Hybrid,,,,False,,168600.0,Estimated: same role median,Other/Adjacent,Low,Unspecified,Mid,Estimated: same role mode,Low,,,
53,DevOps Engineer,Lydia AI,NCR,Full Time,Work from Home,,,,False,,168600.0,Estimated: same role median,Other/Adjacent,Medium,Mid,Mid,LLM extracted,High,3.0,5.0,"3–5 years of experience in DevOps, Cloud, or Infrastructure Engineering"
54,Automation Engineer,Datawords,Makati,Full Time,Work from Home,,,,False,,108000.0,Estimated: same role median,Full-Stack Developer,High,Unspecified,Senior,Estimated: same role mode,Low,,,
55,Senior Full Stack Engineer,Denali Data,Remote,Full Time,Work from Home,170000.0,,170000.0,True,170000.0,170000.0,Observed,Full-Stack Developer,High,Senior,Senior,LLM extracted,High,1.0,,"Python: 1 year (Required); algorithmic solutions: 1 year (Required); physical systems engineering (Structural, mining, or Civil): 1 year (Required)"
56,N8N Platform Engineer,NISPI,Makati,Full Time,Hybrid,100000.0,,100000.0,True,100000.0,100000.0,Observed,AI/ML Engineer,High,Mid,Mid,LLM extracted,High,3.0,,"Minimum of 3 years of relevant experience in Platform Engineering, DevOps, or Infrastructure Automation"
57,Software Development for Automation,Octal Philippines Inc.,Mandaluyong,Full Time,Hybrid,108000.0,,108000.0,True,108000.0,108000.0,Observed,Full-Stack Developer,Medium,Senior,Senior,LLM extracted,High,6.0,,Minimum 6 years of experience in software development
58,DevOps Engineer,Suitestudio Operations Incs.,Mandaluyong,Full Time,Onsite,90000.0,,90000.0,True,90000.0,90000.0,Observed,AI/ML Engineer,High,Senior,Senior,LLM extracted,High,5.0,,5+ years DevOps or platform engineering experience
59,Microsoft AI Platform Developer,BRISolutions - Bravissimo Resourcing,Taguig,Full Time,Onsite,,,,False,,90000.0,Estimated: same role + seniority median,AI/ML Engineer,High,Mid,Mid,LLM extracted,High,3.0,,3+ years of experience in AI/ML development using Microsoft technologies
60,AWS Cognitive Engineer,Solo Annotators,Manila,Full Time,Onsite,80000.0,,80000.0,True,80000.0,80000.0,Observed,AI/ML Engineer,High,Mid,Mid,LLM extracted,High,3.0,,Minimum 3 years of hands-on experience with AWS services
61,Azure Data Engineer,Tech Mahindra,Makati,Full Time,Hybrid,150000.0,,150000.0,True,150000.0,150000.0,Observed,Data Engineer,High,Senior,Senior,LLM extracted,High,7.0,,Proven experience (7+ years) as a Data Engineer or similar role dealing with data and ETL processes
62,Data Engineer,Proctor & Gamble,Taguig,Full Time,Onsite,,,,False,,120000.0,Estimated: same role + seniority median,Data Engineer,High,Mid,Mid,LLM extracted,Medium,2.0,,Experience in Python/PySpark and SQL/SparkSQL programming skills. Experience in Big Data/ETL (Spark and Databricks preferred)
63,Senior Data Engineer,Copeland,Quezon City,Full Time,Hybrid,,,,False,,85000.0,Estimated: same role + seniority median,Data Engineer,High,Senior,Senior,LLM extracted,High,5.0,7.0,Candidate must have a minimum of (5-7) years of experience in a Data Engineer role
64,Data Engineer,Arch Global Services,Taguig,Full Time,Work from Home,,,,False,,120000.0,Estimated: same role + seniority median,Data Engineer,High,Mid,Mid,LLM extracted,Medium,,,"Not explicitly stated, but implies experience with ETL/ELT technologies and Snowflake"
65,Azure Data Engineer,Dysrupit,Makati,Full Time,Hybrid,,,,False,,85000.0,Estimated: same role + seniority median,Data Engineer,High,Senior,Senior,LLM extracted,High,5.0,,Proven experience (5+ years) as a Data Engineer or similar role dealing with data and ETL processes
66,Senior Data Engineer,John Celements Consultants,Remote,Full Time,Work from Home,80000.0,,80000.0,True,80000.0,80000.0,Observed,Data Engineer,High,Senior,Senior,LLM extracted,High,4.0,,"4+ years of experience in data engineering, data platform development, or a closely related field"
67,Data Engineer,Lennor Group,Remote,Full Time,Work from Home,,,,False,,120000.0,Estimated: same role + seniority median,Data Engineer,High,Mid,Mid,LLM extracted,Medium,5.0,,Minimum 5 years of experience as a Data Engineer or similar role
68,Data Engineer,Angkas,Makati,Full Time,Hybrid,,,,False,,95000.0,Estimated: same role median,Data Engineer,High,Entry,Entry,LLM extracted,Medium,,,Basic experience with cloud platforms (GCP preferred)
69,Data Engineer,Beyond,Taguig,Full Time,Hybrid,,,,False,,120000.0,Estimated: same role + seniority median,Data Engineer,High,Mid,Mid,LLM extracted,Medium,,,"No explicit years of experience required, but role implies mid-level experience due to responsibilities"
70,Data Engineer,Pivotly,Remote,Full Time,Work from Home,,,,False,,120000.0,Estimated: same role + seniority median,Data Engineer,High,Mid,Mid,LLM extracted,High,3.0,,3+ years of experience in data engineering or a similar role
71,Data Engineer,Unilab,Mandaluyong,Full Time,Onsite,,,,False,,115000.0,Estimated: same role + seniority median,Data Engineer,High,Unspecified,Senior,Estimated: same role mode,Low,,,
72,Data Engineer,KSearch Asia Consulting,Makati,Full Time,Onsite,,,,False,,85000.0,Estimated: same role + seniority median,Data Engineer,High,Senior,Senior,LLM extracted,High,3.0,,Proven experience (3+ years) as a Data Engineer or similar role dealing with data and ETL processes
73,Data Engineer,Synacy,Remote,Full Time,Work from Home,,,,False,,85000.0,Estimated: same role + seniority median,Data Engineer,High,Senior,Senior,LLM extracted,High,3.0,,"3+ years of experience in software engineering, using any of the following programming languages, Ruby, Javascript, Python, and PHP"
74,Data Engineer,Questronix Corporation,Pasig,Full Time,Onsite,,,,False,,85000.0,Estimated: same role + seniority median,Data Engineer,High,Senior,Senior,LLM extracted,High,3.0,5.0,"3–5 years of experience in data engineering, data pipeline development, or backend data processing"
