skill_id,skill_key,skill_name,skill_count,alias_examples,cluster_id,cluster_name,cluster_reason
SKILL_0143,lgbm,LGBM,1,LGBM,CLUSTER_030,Other Technical Skills,Deterministic fallback: missing Pass 3 assignment
SKILL_0144,llm,LLM,4,LLM,CLUSTER_002,Generative AI,Deterministic fallback: missing Pass 3 assignment
SKILL_0145,llm api integration,LLM API integration,2,LLM API integration,CLUSTER_002,Generative AI,Deterministic fallback: missing Pass 3 assignment
SKILL_0146,llm apis,LLM APIs,2,LLM APIs,CLUSTER_002,Generative AI,Deterministic fallback: missing Pass 3 assignment
SKILL_0147,llm-based workflows,LLM-based workflows,1,LLM-based workflows,CLUSTER_002,Generative AI,Deterministic fallback: missing Pass 3 assignment
SKILL_0148,llms,LLMs,3,LLMs,CLUSTER_002,Generative AI,Deterministic fallback: missing Pass 3 assignment
SKILL_0149,lambda,Lambda,1,Lambda,CLUSTER_030,Other Technical Skills,Deterministic fallback: missing Pass 3 assignment
SKILL_0150,langchain,LangChain,4,LangChain,CLUSTER_001,Agentic AI,Deterministic fallback: missing Pass 3 assignment
SKILL_0151,langsmith,LangSmith,1,LangSmith,CLUSTER_030,Other Technical Skills,Deterministic fallback: missing Pass 3 assignment
SKILL_0152,large language models llms,Large Language Models (LLMs),1,Large Language Models (LLMs),CLUSTER_002,Generative AI,Deterministic fallback: missing Pass 3 assignment
SKILL_0153,linux,Linux,4,Linux,CLUSTER_029,Operating Systems and Scripting,Deterministic fallback: missing Pass 3 assignment
SKILL_0154,linux administration,Linux administration,1,Linux administration,CLUSTER_029,Operating Systems and Scripting,Deterministic fallback: missing Pass 3 assignment
SKILL_0155,llamaindex,LlamaIndex,1,LlamaIndex,CLUSTER_030,Other Technical Skills,Deterministic fallback: missing Pass 3 assignment
SKILL_0156,logging,Logging,1,Logging,CLUSTER_030,Other Technical Skills,Deterministic fallback: missing Pass 3 assignment
SKILL_0157,lookml,LookML,1,LookML,CLUSTER_030,Other Technical Skills,Deterministic fallback: missing Pass 3 assignment
SKILL_0158,looker studio,Looker Studio,1,Looker Studio,CLUSTER_021,BI and Visualization,Deterministic fallback: missing Pass 3 assignment
SKILL_0159,mcp integrations,MCP integrations,1,MCP integrations,CLUSTER_011,API Development,Deterministic fallback: missing Pass 3 assignment
SKILL_0160,mfa,MFA,1,MFA,CLUSTER_030,Other Technical Skills,Deterministic fallback: missing Pass 3 assignment
SKILL_0161,ml platforms,ML platforms,1,ML platforms,CLUSTER_008,MLOps and Deployment,ML platforms are related to the deployment and management of machine learning models
SKILL_0162,mlops,MLOps,4,MLOps,CLUSTER_008,MLOps and Deployment,"MLOps directly relates to the deployment, monitoring, and management of machine learning models"
SKILL_0163,mlops/llmops,MLOps/LLMOps,1,MLOps/LLMOps,CLUSTER_008,MLOps and Deployment,"MLOps/LLMOps is a specialized area of MLOps focused on large language models, which falls under the MLOps and Deployment cluster"
SKILL_0164,mlflow,MLflow,2,MLflow,CLUSTER_008,MLOps and Deployment,"MLflow is a tool used for managing the machine learning lifecycle, which is part of MLOps and Deployment"
SKILL_0165,mmdetection,MMDetection,1,MMDetection,CLUSTER_005,Computer Vision,"MMDetection is a framework for object detection, which is a core part of computer vision"
SKILL_0166,ms excel,MS Excel,3,MS Excel,CLUSTER_030,Other Technical Skills,MS Excel is a spreadsheet tool and does not fit into any of the more specific technical clusters
SKILL_0167,ms office applications,MS Office applications,1,MS Office applications,CLUSTER_030,Other Technical Skills,MS Office applications are general productivity tools and do not fit into any of the more specific technical clusters
SKILL_0168,ms sql,MS SQL,1,MS SQL,CLUSTER_013,Databases and Querying,MS SQL is a relational database system and fits into the Databases and Querying cluster
SKILL_0169,machine learning algorithms,Machine Learning Algorithms,4,Machine Learning Algorithms,CLUSTER_006,Machine Learning,Machine Learning Algorithms are core to the field of machine learning and fit into the Machine Learning cluster
SKILL_0170,machine learning,Machine learning,6,Machine Learning; Machine learning,CLUSTER_006,Machine Learning,Machine learning is a core field and fits into the Machine Learning cluster
SKILL_0171,machine learning infrastructure,Machine learning infrastructure,1,Machine learning infrastructure,CLUSTER_008,MLOps and Deployment,"Machine learning infrastructure is related to deploying and managing machine learning models, which falls under MLOps and Deployment"
SKILL_0172,microservice-based architecture,Microservice-based architecture,1,Microservice-based architecture,CLUSTER_027,Software Engineering Tools,Microservice-based architecture is a software design pattern and fits into the Software Engineering Tools cluster
SKILL_0173,microsoft power bi,Microsoft Power BI,1,"Data visualization experience using any BI tool: Microsoft Power BI, Tableau, Qlik",CLUSTER_021,BI and Visualization,Microsoft Power BI is a business intelligence and visualization tool and fits into the BI and Visualization cluster
SKILL_0174,mysql,MySQL,1,MySQL,CLUSTER_013,Databases and Querying,MySQL is a relational database system and fits into the Databases and Querying cluster
SKILL_0175,net,NET,1,NET,CLUSTER_030,Other Technical Skills,NET is a general-purpose programming framework and does not fit into any of the more specific technical clusters
SKILL_0176,nlp,NLP,1,NLP,CLUSTER_004,NLP and Text Analytics,NLP is a core field of natural language processing and fits into the NLP and Text Analytics cluster
SKILL_0177,nltk,NLTK,1,NLTK,CLUSTER_004,NLP and Text Analytics,NLTK is a library used for natural language processing and fits into the NLP and Text Analytics cluster
SKILL_0178,nunit,NUnit,1,NUnit,CLUSTER_027,Software Engineering Tools,NUnit is a unit testing framework and fits into the Software Engineering Tools cluster
SKILL_0179,nestjs,NestJS,1,NestJS,CLUSTER_010,Web Development,NestJS is a web framework and fits into the Web Development cluster
SKILL_0180,netlify,Netlify,1,Netlify,CLUSTER_020,DevOps and Cloud Infrastructure,Netlify is a cloud platform for deploying web applications and fits into the DevOps and Cloud Infrastructure cluster
SKILL_0181,network security,Network Security,1,network security,CLUSTER_023,Cybersecurity,Network Security is a core area of cybersecurity and fits into the Cybersecurity cluster
SKILL_0182,networking,Networking,1,Networking,CLUSTER_030,Other Technical Skills,Networking is a general term and does not fit into any of the more specific technical clusters
SKILL_0183,next.js,Next.js,3,Next.js; TypeScript / Next.js / React,CLUSTER_010,Web Development,Next.js is a web framework and fits into the Web Development cluster
SKILL_0184,nifi,NiFi,1,NiFi,CLUSTER_015,Data Engineering Pipelines,NiFi is a data integration and workflow automation tool and fits into the Data Engineering Pipelines cluster
SKILL_0185,node.js,Node.js,5,Node.js,CLUSTER_010,Web Development,Node.js is a web development framework and fits into the Web Development cluster
SKILL_0186,numpy,NumPy,1,NumPy,CLUSTER_009,Programming Languages,NumPy is a Python library and fits into the Programming Languages cluster
SKILL_0187,observability,Observability,2,Observability,CLUSTER_020,DevOps and Cloud Infrastructure,Observability is related to monitoring and managing cloud infrastructure and fits into the DevOps and Cloud Infrastructure cluster
SKILL_0188,observability tools,Observability tools,1,Observability tools,CLUSTER_020,DevOps and Cloud Infrastructure,Observability tools are used for monitoring and managing cloud infrastructure and fit into the DevOps and Cloud Infrastructure cluster
SKILL_0189,openai,OpenAI,1,OpenAI,CLUSTER_002,Generative AI,OpenAI is a provider of generative AI models and fits into the Generative AI cluster
SKILL_0190,openai api,OpenAI API,2,OpenAI API,CLUSTER_002,Generative AI,The OpenAI API is used for generative AI tasks and fits into the Generative AI cluster
SKILL_0191,opencv,OpenCV,1,OpenCV,CLUSTER_005,Computer Vision,OpenCV is a library used for image processing and computer vision and fits into the Computer Vision cluster
SKILL_0192,oracle rdbms,Oracle RDBMS,1,Oracle RDBMS,CLUSTER_013,Databases and Querying,Oracle RDBMS is a relational database system and fits into the Databases and Querying cluster
SKILL_0193,orchestration,Orchestration,1,Orchestration,CLUSTER_016,Workflow Orchestration,Orchestration is related to workflow management and fits into the Workflow Orchestration cluster
SKILL_0194,pam,PAM,1,PAM,CLUSTER_030,Other Technical Skills,PAM is a general term and does not fit into any of the more specific technical clusters
SKILL_0195,php,PHP,1,PHP,CLUSTER_009,Programming Languages,PHP is a general-purpose programming language and fits into the Programming Languages cluster
SKILL_0196,pandas,Pandas,1,Pandas,CLUSTER_009,Programming Languages,Pandas is a Python library and fits into the Programming Languages cluster
SKILL_0197,performance monitoring,Performance monitoring,1,Performance monitoring,CLUSTER_020,DevOps and Cloud Infrastructure,Performance monitoring is related to cloud infrastructure and fits into the DevOps and Cloud Infrastructure cluster
SKILL_0198,persistent state tracking,Persistent State Tracking,1,Persistent State Tracking,CLUSTER_030,Other Technical Skills,Persistent State Tracking is a general term and does not fit into any of the more specific technical clusters
SKILL_0199,pinecone,Pinecone,1,Pinecone,CLUSTER_003,RAG and Vector Search,Pinecone is a vector database and fits into the RAG and Vector Search cluster
SKILL_0200,policy enforcement,Policy enforcement,1,Policy enforcement,CLUSTER_023,Cybersecurity,Policy enforcement is a core area of cybersecurity and fits into the Cybersecurity cluster
SKILL_0201,postgresql,PostgreSQL,2,PostgreSQL,CLUSTER_013,Databases and Querying,PostgreSQL is a relational database system and fits into the Databases and Querying cluster
SKILL_0202,power automate,Power Automate,2,Power Automate,CLUSTER_026,Automation and Productivity,Power Automate is an automation tool and fits into the Automation and Productivity cluster
SKILL_0203,power bi,Power BI,17,Power BI,CLUSTER_021,BI and Visualization,Power BI is a business intelligence and visualization tool and fits into the BI and Visualization cluster
SKILL_0204,power platform,Power Platform,1,Power Platform,CLUSTER_030,Other Technical Skills,Power Platform is a general term and does not fit into any of the more specific technical clusters
SKILL_0205,power platform extensibility,Power Platform extensibility,1,Power Platform extensibility,CLUSTER_030,Other Technical Skills,Power Platform extensibility is a general term and does not fit into any of the more specific technical clusters
SKILL_0206,power query,Power Query,1,Power Query,CLUSTER_013,Databases and Querying,Power Query is a data transformation tool and fits into the Databases and Querying cluster
SKILL_0207,predictive modeling,Predictive Modeling,1,Predictive Modeling,CLUSTER_006,Machine Learning,Predictive Modeling is a core area of machine learning and fits into the Machine Learning cluster
SKILL_0208,prometheus,Prometheus,1,Prometheus,CLUSTER_020,DevOps and Cloud Infrastructure,Prometheus is a monitoring tool and fits into the DevOps and Cloud Infrastructure cluster
SKILL_0209,prompt flow,Prompt Flow,1,Prompt Flow,CLUSTER_002,Generative AI,Prompt Flow is related to generative AI and fits into the Generative AI cluster
SKILL_0210,prompt engineering,Prompt engineering,7,Prompt engineering,CLUSTER_002,Generative AI,Prompt engineering is a core area of generative AI and fits into the Generative AI cluster
SKILL_0211,qlik,Qlik,1,"Data visualization experience using any BI tool: Microsoft Power BI, Tableau, Qlik",CLUSTER_021,BI and Visualization,Qlik is a business intelligence and visualization tool and fits into the BI and Visualization cluster
SKILL_0212,r,R,10,R,CLUSTER_009,Programming Languages,R is a general-purpose programming language and fits into the Programming Languages cluster
SKILL_0213,rag,RAG,7,RAG; Vector databases and RAG,CLUSTER_003,RAG and Vector Search,RAG is a core area of retrieval-augmented generation and fits into the RAG and Vector Search cluster
SKILL_0214,rag architecture,RAG architecture,1,RAG architecture,CLUSTER_003,RAG and Vector Search,RAG architecture is related to retrieval-augmented generation and fits into the RAG and Vector Search cluster
SKILL_0215,rag architectures,RAG architectures,1,RAG architectures,CLUSTER_003,RAG and Vector Search,RAG architectures are related to retrieval-augmented generation and fit into the RAG and Vector Search cluster
SKILL_0216,rag implementation,RAG implementation,1,RAG implementation,CLUSTER_003,RAG and Vector Search,RAG implementation is related to retrieval-augmented generation and fits into the RAG and Vector Search cluster
SKILL_0217,rag pipeline,RAG pipeline,1,RAG pipeline,CLUSTER_003,RAG and Vector Search,RAG pipeline is related to retrieval-augmented generation and fits into the RAG and Vector Search cluster
SKILL_0218,rag-based solutions,RAG-based solutions,1,RAG-based solutions,CLUSTER_003,RAG and Vector Search,Deterministic fallback: missing Pass 3 assignment
SKILL_0219,ragas,RAGAS,1,RAGAS,CLUSTER_003,RAG and Vector Search,Deterministic fallback: missing Pass 3 assignment
SKILL_0220,rbac,RBAC,1,RBAC,CLUSTER_030,Other Technical Skills,Deterministic fallback: missing Pass 3 assignment
SKILL_0221,rds,RDS,1,RDS,CLUSTER_030,Other Technical Skills,Deterministic fallback: missing Pass 3 assignment
SKILL_0222,rest api programming,REST API programming,1,REST API programming,CLUSTER_011,API Development,Deterministic fallback: missing Pass 3 assignment
SKILL_0223,rest/json api development,REST/JSON API development,1,REST / JSON API development,CLUSTER_011,API Development,Deterministic fallback: missing Pass 3 assignment
SKILL_0224,rest/json apis,REST/JSON APIs,1,REST/JSON APIs,CLUSTER_011,API Development,Deterministic fallback: missing Pass 3 assignment
SKILL_0225,restful apis,RESTful APIs,1,RESTful APIs,CLUSTER_011,API Development,Deterministic fallback: missing Pass 3 assignment
SKILL_0226,ralph loop,Ralph loop,1,Ralph loop,CLUSTER_030,Other Technical Skills,Deterministic fallback: missing Pass 3 assignment
SKILL_0227,random forests,Random Forests,1,Random Forests,CLUSTER_006,Machine Learning,Deterministic fallback: missing Pass 3 assignment
SKILL_0228,rasa,Rasa,1,Rasa,CLUSTER_030,Other Technical Skills,Deterministic fallback: missing Pass 3 assignment
SKILL_0229,react,React,5,React; TypeScript / Next.js / React,CLUSTER_010,Web Development,Deterministic fallback: missing Pass 3 assignment
SKILL_0230,reactts,ReactTS,1,ReactTS,CLUSTER_010,Web Development,Deterministic fallback: missing Pass 3 assignment
SKILL_0231,real-time communication protocols,Real-time Communication Protocols,1,Real-time Communication Protocols,CLUSTER_030,Other Technical Skills,Deterministic fallback: missing Pass 3 assignment
SKILL_0232,redshift,Redshift,4,Redshift,CLUSTER_014,Data Warehousing,Deterministic fallback: missing Pass 3 assignment
SKILL_0233,rekognition,Rekognition,1,Rekognition,CLUSTER_030,Other Technical Skills,Deterministic fallback: missing Pass 3 assignment
SKILL_0234,resilient job queues,Resilient job queues,1,resilient job queues,CLUSTER_030,Other Technical Skills,Deterministic fallback: missing Pass 3 assignment
SKILL_0235,retrieval strategies,Retrieval strategies,1,Retrieval strategies,CLUSTER_003,RAG and Vector Search,Deterministic fallback: missing Pass 3 assignment
SKILL_0236,retrieval-augmented generation rag,Retrieval-Augmented Generation (RAG),2,Retrieval-Augmented Generation (RAG),CLUSTER_003,RAG and Vector Search,Deterministic fallback: missing Pass 3 assignment
SKILL_0237,s3,S3,2,S3,CLUSTER_030,Other Technical Skills,Deterministic fallback: missing Pass 3 assignment
SKILL_0238,sas,SAS,1,SAS,CLUSTER_030,Other Technical Skills,Deterministic fallback: missing Pass 3 assignment
SKILL_0239,sql,SQL,44,SQL,CLUSTER_013,Databases and Querying,Deterministic fallback: missing Pass 3 assignment
SKILL_0240,sql dml,SQL DML,1,SQL DML,CLUSTER_013,Databases and Querying,Deterministic fallback: missing Pass 3 assignment
SKILL_0241,sql server,SQL Server,1,SQL Server,CLUSTER_013,Databases and Querying,SQL Server is a relational database management system
SKILL_0242,sql server integration services,SQL Server Integration Services,1,SQL Server Integration Services,CLUSTER_015,Data Engineering Pipelines,SQL Server Integration Services is used for data integration and workflow automation
SKILL_0243,scripting and automation,Scripting and automation,1,scripting and automation,CLUSTER_026,Automation and Productivity,Scripting and automation refers to tools and practices for automating workflows
SKILL_0244,security controls implementation,Security controls implementation,1,security controls implementation,CLUSTER_023,Cybersecurity,Security controls implementation involves setting up and managing security measures
SKILL_0245,snowflake,Snowflake,4,Snowflake,CLUSTER_014,Data Warehousing,Snowflake is a cloud-based data warehousing platform
SKILL_0246,sonarcloud,SonarCloud,1,SonarCloud,CLUSTER_027,Software Engineering Tools,SonarCloud is a code quality and security analysis tool
SKILL_0247,spark,Spark,6,Spark,CLUSTER_017,Big Data Processing,Spark is a distributed data processing framework used for big data
SKILL_0248,speech-to-text,Speech-to-Text,1,Speech-to-Text,CLUSTER_004,NLP and Text Analytics,"Speech-to-Text involves converting spoken language into text, which is a part of NLP"
SKILL_0249,speech-to-text integration,Speech-to-text integration,1,Speech-to-text integration,CLUSTER_011,API Development,Speech-to-text integration involves building and using APIs for speech recognition
SKILL_0250,splunk,Splunk,1,Splunk,CLUSTER_017,Big Data Processing,"Splunk is used for data analysis and processing, particularly in log data"
SKILL_0251,statistical modeling,Statistical modeling,2,Statistical Modeling; Statistical modeling,CLUSTER_022,Statistics and Experimentation,Statistical modeling involves creating models to analyze and interpret data
SKILL_0252,streaming analytics,Streaming analytics,1,Streaming analytics,CLUSTER_017,Big Data Processing,Streaming analytics involves processing and analyzing data in real-time
SKILL_0253,streamlit,Streamlit,1,Streamlit,CLUSTER_010,Web Development,Streamlit is a framework for building web applications for data science
SKILL_0254,supabase,Supabase,1,Supabase,CLUSTER_018,Cloud Platforms,Supabase is a backend service for building web and mobile apps
SKILL_0255,supervised ml techniques,Supervised ML techniques,1,Supervised ML techniques,CLUSTER_006,Machine Learning,Supervised ML techniques involve training models with labeled data
SKILL_0256,svelte,Svelte,1,Svelte,CLUSTER_010,Web Development,Svelte is a frontend JavaScript framework for building web applications
SKILL_0257,system vulnerabilities,System Vulnerabilities,1,System Vulnerabilities,CLUSTER_023,Cybersecurity,System vulnerabilities involve identifying and mitigating weaknesses in systems
SKILL_0258,t-sql,T-SQL,1,T-SQL,CLUSTER_013,Databases and Querying,T-SQL is a dialect of SQL used for querying and managing SQL Server databases
SKILL_0259,tcp/ip,TCP/IP,1,TCP/IP,CLUSTER_030,Other Technical Skills,TCP/IP is a protocol suite used for internet communication
SKILL_0260,tcs,TCS,1,TCS,CLUSTER_030,Other Technical Skills,TCS is not clearly defined and does not fit into any specific cluster
SKILL_0261,tableau,Tableau,7,"Data visualization experience using any BI tool: Microsoft Power BI, Tableau, Qlik; Tableau",CLUSTER_021,BI and Visualization,Tableau is a business intelligence and data visualization tool
SKILL_0262,tensorflow,TensorFlow,3,TensorFlow,CLUSTER_007,Deep Learning,TensorFlow is a deep learning framework used for building neural networks
SKILL_0263,tensorrt,TensorRT,1,TensorRT,CLUSTER_007,Deep Learning,TensorRT is used for optimizing and deploying deep learning models
SKILL_0264,terraform,Terraform,3,Terraform,CLUSTER_020,DevOps and Cloud Infrastructure,Terraform is an infrastructure-as-code tool for provisioning and managing cloud resources
SKILL_0265,test automation frameworks,Test automation frameworks,1,Test automation frameworks,CLUSTER_027,Software Engineering Tools,Test automation frameworks are used for automating software testing processes
SKILL_0266,text-to-speech,Text-to-Speech,1,Text-to-Speech,CLUSTER_004,NLP and Text Analytics,"Text-to-Speech involves converting text into spoken language, which is a part of NLP"
SKILL_0267,third-party api integration,Third-party API integration,1,third-party API integration,CLUSTER_011,API Development,Third-party API integration involves connecting and using external APIs
SKILL_0268,typescript,TypeScript,8,TypeScript; TypeScript / Next.js / React; Typescript,CLUSTER_009,Programming Languages,TypeScript is a statically typed superset of JavaScript
SKILL_0269,unit testing,Unit testing,1,Unit testing,CLUSTER_027,Software Engineering Tools,Unit testing involves testing individual components of software
SKILL_0270,vector dbs,Vector DBs,1,Vector DBs,CLUSTER_003,RAG and Vector Search,"Vector DBs are used for storing and searching vector embeddings, which are relevant to RAG"
SKILL_0271,vector databases,Vector databases,6,Vector Databases; Vector databases; Vector databases and RAG,CLUSTER_003,RAG and Vector Search,"Vector databases are used for storing and searching vector embeddings, which are relevant to RAG"
SKILL_0272,vector embeddings,Vector embeddings,1,Vector embeddings,CLUSTER_003,RAG and Vector Search,Vector embeddings are used in retrieval-augmented generation and semantic search
SKILL_0273,vector search,Vector search,1,Vector search,CLUSTER_003,RAG and Vector Search,Vector search is a key component of retrieval-augmented generation and semantic search
SKILL_0274,yolo,YOLO,1,YOLO,CLUSTER_005,Computer Vision,YOLO is a popular framework for object detection in computer vision
SKILL_0275,dbt,dbt,4,DBT; dbt,CLUSTER_015,Data Engineering Pipelines,dbt is a tool for transforming data in data warehouses
SKILL_0276,ecommerce systems,eCommerce systems,1,eCommerce systems,CLUSTER_024,Information Systems,eCommerce systems are part of business information systems
SKILL_0277,multi-agent systems,multi-agent systems,1,Multi-agent systems,CLUSTER_001,Agentic AI,Multi-agent systems are a part of agentic AI frameworks
SKILL_0278,spacy,spaCy,1,spaCy,CLUSTER_004,NLP and Text Analytics,spaCy is a library for natural language processing and text analytics
SKILL_0279,sub-agents,sub-agents,1,sub-agents,CLUSTER_001,Agentic AI,"Sub-agents are components of multi-agent systems, which fall under agentic AI"
